id,bot_id,question,answer,created_at,updated_at
1,7,Qu'est-ce que Push CI ?,"Push CI est une plateforme mobile qui permet aux utilisateurs de transférer, recevoir, envoyer et gérer de l'argent 24h/24, 7j/7, sans quitter leur domicile. Elle offre une configuration rapide et une grande facilité d'utilisation.",2024-09-12 13:32:16,2024-09-12 13:32:16
2,7,Quels services fournit la Super App Push CI ?,"La Super App Push CI propose des services de transfert d'argent mobile, paiements, transferts inter-réseaux, achat de crédit téléphonique, paiement de factures, historique des transactions, et bien plus.",2024-09-12 13:32:16,2024-09-12 13:32:16
3,7,Comment puis-je bénéficier de Push CI en utilisant mon numéro de téléphone ?,"En utilisant votre numéro de téléphone, vous pouvez bénéficier de services tels que l'accès à une carte VISA Internationale (virtuelle ou physique), des dépôts et retraits dans les points Push, des retraits dans des DAB partout dans le monde, et des tarifs accessibles.",2024-09-12 13:32:16,2024-09-12 13:32:16
4,7,Quels types de cartes propose Push CI ?,Push CI propose deux types de cartes : une carte VISA Internationale physique et une carte VISA Internationale virtuelle.,2024-09-12 13:32:16,2024-09-12 13:32:16
5,7,Quelle est la différence entre les cartes physiques et virtuelles Push ?,"La carte Push physique permet d'effectuer toutes sortes de transactions, telles que les paiements TPE, les retraits aux DAB, et les paiements en ligne. La carte Push virtuelle est entièrement gratuite et est utilisée uniquement pour les paiements en ligne.",2024-09-12 13:32:16,2024-09-12 13:32:16
6,7,Comment puis-je retirer de l'argent avec Push ?,"Vous pouvez retirer de l'argent dans n'importe quel point Push à travers la Côte d'Ivoire, avec ou sans votre carte physique Push, ou dans des DAB pour les détenteurs de cartes.",2024-09-12 13:32:16,2024-09-12 13:32:16
7,7,Comment puis-je recharger une carte Push ?,"Vous pouvez recharger votre carte Push via l'application mobile Push CI, le code USSD *755#, ou dans n'importe quel point Push en utilisant Mobile Money de n'importe quel réseau.",2024-09-12 13:32:16,2024-09-12 13:32:16
8,7,Quel est le code USSD pour Push CI ?,"Le code USSD pour Push CI est *755#, permettant aux utilisateurs d'effectuer des transactions sans avoir besoin d'Internet.",2024-09-12 13:32:16,2024-09-12 13:32:16
9,7,À quoi sert le *755# ?,Le code USSD *755# permet aux clients qui n'ont pas de smartphone d'effectuer toute opération sur la plateforme Push.,2024-09-12 13:32:16,2024-09-12 13:32:16
10,7,Quelles langues sont prises en charge par le centre d'appel de Push ?,"Le centre d'appel prend en charge les langues locales telles que le Dioula, le Baoulé, le Bété, le Français, et même le Mooré.",2024-09-12 13:32:16,2024-09-12 13:32:16
11,7,Comment devenir client Push ?,"Vous pouvez devenir client Push en téléchargeant l'application Push CI, en vous inscrivant avec votre numéro de téléphone, en fournissant une pièce d'identité, et en choisissant soit une carte virtuelle ou physique, ou en visitant un point Push.",2024-09-12 13:32:16,2024-09-12 13:32:16
